m,x,y,v_x,v_y
3.201952826406815e+17,883499471061.9668,1129979805650.8003,99416.1350535619,43977.024630113905
2.390823508227225e+17,342298049016.09436,1427750261878.5354,8499.103362282556,3057.0838043933236
4.089629732259903e+16,706112427367.9838,1272323577383.563,38085.808934371256,23618.052773269304
2.5557424469611082e+17,714821614404.2177,812882489486.0256,87605.00076032299,59782.53701693502
2.8093830534353398e+17,1349086370071.1938,985521579029.3541,17755.337528377568,15169.042821693945
4.009410707950804e+16,1204347364387.433,254148844485.78088,31541.406872562828,52237.74676363899
6473384513904763.0,91044500055.45058,1351079218412.27,28707.864648431492,7603.48734775812
2.2148941625274352e+17,303991128080.4595,791648484828.75,24566.521581539604,16626.43610579213
2.7492291452779107e+17,1481669878638.6133,156162919190.92883,97123.69067271866,78569.58396922503
9.86317292046288e+16,535179721912.46124,1354737134512.2773,25659.149947253558,65134.73871340758
6.652572324270238e+16,1029785493991.8453,769373696390.6255,46302.88055780348,77487.764725013
3.05880740059292e+17,259243975944.0591,914996230587.7556,94600.91854167233,79366.99944772654
1.2651991928620597e+17,1160080746475.8745,37773473676.64234,53879.87118144691,30532.305360880287
8.972786128622448e+16,457718699756.9598,725441302151.7356,75957.2840735535,23045.24181836024
2.90752410846314e+17,681171672477.8866,1451969280820.3093,86927.05926589687,70258.04419896814
3.897799061480168e+17,548522868382.4304,800332390189.183,51905.60711509978,8535.603445544126
3.170388387657892e+17,443895190634.31726,938159143909.6117,73730.10966084158,461.6183716269373
3.781134432940105e+17,1287176604102.842,358754480614.4535,99993.01615092668,82261.09923011292
7.494347611565611e+16,1016539191920.4124,239718999207.82584,59302.89037762343,64601.76112327527
3.709492524858476e+16,1249282053405.1128,430455402343.4811,22076.725295088218,79798.59457342044
3.23817948253861e+17,1299771787302.0847,1005725249709.1962,51114.56298292906,55819.767554817685
6.005454312394579e+16,733709478548.9312,601590189152.43,71873.85572701684,21531.826989872785
1.4980377399127168e+17,1014159087806.129,819544308034.2325,29877.770841743335,97544.451380481
2.6263406775710845e+17,46872290240.753654,387955923661.0723,77834.74816001837,94423.71372292566
1.1975226285414438e+17,411383167663.24884,1190344320878.0867,87734.24864894853,47418.189585763634
1.2429286206547026e+17,1149661279730.7083,1263709387710.352,58704.39814624472,81134.3595055608
1.4848880973781792e+17,866554572941.2148,1101157112031.2957,94577.71502642258,15980.285177389442
2.4568527258059987e+17,824697164595.644,305521917055.9914,14605.028291889288,91445.69652638228
3.0377074512068506e+17,412653175618.3835,371663325754.0812,38556.02214087679,36166.74401436596
3.2514333000205075e+17,504263017244.468,1071442547986.5828,57785.0563062643,29700.676069749086
2.2920335353780856e+16,119317523040.93388,557408833524.7687,51089.77024625155,40424.31482159239
2.37627149323033e+16,17276395185.71888,1188720197125.6538,35284.963750147,16457.333111492742
1.296763078872795e+17,521315529834.869,264226479095.92017,55475.7467383291,52274.62131381208
1.783911149061495e+17,347720446297.47845,1051732311466.4008,30507.84003441217,48687.704873740426
1.4244279870312336e+17,74647133578.08202,1044567139123.1055,92530.0139569467,63881.50989487214
4.8762778861977224e+16,45006419283.49923,1262125035001.9578,30451.65180828758,95159.09791876806
2.5892865900681642e+17,1090417097531.245,739383114033.4521,92416.90465276982,25211.518889658113
3.36582653995215e+17,1249733557938.2673,758797987279.4059,30485.039436738967,9578.058471851136
1.5787214946282454e+17,699523949840.1447,43341793510.77416,53338.81961899481,34502.09789748481
1.80145797229007e+17,590594980307.7579,703655688026.7502,81970.17793746358,94427.24193652677
2.205330784554574e+17,122562347498.2227,312112952028.44336,60779.800338084555,81484.50967250638
2.424477273527871e+17,310831375045.5298,371749778157.2254,56583.674556148224,78897.13938280735
1.62269470801073e+17,101994898972.53235,491823966682.8082,63155.00844692845,28497.721643509954
3.6132810692240934e+17,129284472154.26476,913488545420.9255,58014.75652558038,67022.68148475923
2.9209001966934736e+16,362928614279.08966,941774827689.4507,87598.14509239496,3516.298887737157
3.481912088167459e+17,49374298455.06835,212627972618.13007,45077.66887787143,89718.0254445516
1.3268609084987333e+17,709758534302.4279,1436980696044.9707,87859.94267831021,43376.847814036
2.1363559668106234e+17,6993058829.684229,1416974390956.8083,76437.10635533585,4116.287676969388
2.1630243442311795e+17,32616524107.677128,1361299743379.879,37574.319372038706,89206.22579734796
9.802703392592738e+16,451711742120.22284,207392218372.58932,45955.24061077349,75994.36914947467
1.4232068836447808e+17,1287697718467.5366,1350480543032.1929,19212.769882800174,66839.10040630371
1.7519506707757133e+17,119678166354.13771,997861439236.4506,25589.346377401012,13218.210830493304
8.73128601784815e+16,873519312489.956,929826356064.7417,39118.62986405015,77151.1080101227
