x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9
-9.913434121892771e-10,-2.6687418197792025e-10,3051254210.386284,-57194667791.18137,23570325706.332104,104375743169.07841,143270324048.83856,-37116226194.762764,-141185008469.2413,175899113379.06244,-733487341984.7568,-234444196098.21066,-1359877298791.845,-378151068762.99445,-1081468672011.2699,-2626158244633.819,-3128193363233.508,3295255262073.309
-3.96537365024692e-09,-1.0674967256598751e-09,3051258992.585869,-57194667536.05762,23570322289.37358,104375743940.70233,143270324795.92798,-37116223310.96346,-141185010351.04486,175899111868.63724,-733487341587.1378,-234444197342.21033,-1359877298533.578,-378151069691.7539,-1081468671381.5734,-2626158244893.132,-3128193363627.32,3295255261699.4624
-8.92209071566274e-09,-2.4018676287940584e-09,3051263774.7854323,-57194667280.933464,23570318872.415035,104375744712.32613,143270325543.01733,-37116220427.16415,-141185012232.84842,175899110358.212,-733487341189.5188,-234444198586.21,-1359877298275.3108,-378151070620.51337,-1081468670751.8768,-2626158245152.445,-3128193364021.132,3295255261325.6157
-1.5861494609926552e-08,-4.269986889128663e-09,3051268556.9849744,-57194667025.80891,23570315455.456463,104375745483.94981,143270326290.10663,-37116217543.364815,-141185014114.65195,175899108847.78674,-733487340791.8998,-234444199830.20966,-1359877298017.0437,-378151071549.2728,-1081468670122.1803,-2626158245411.758,-3128193364414.944,3295255260951.769
-2.478358533452816e-08,-6.671854504411884e-09,3051273339.184495,-57194666770.683945,23570312038.497864,104375746255.57338,143270327037.19586,-37116214659.56547,-141185015996.45547,175899107337.36148,-733487340394.2808,-234444201074.20932,-1359877297758.7766,-378151072478.0323,-1081468669492.4838,-2626158245671.071,-3128193364808.756,3295255260577.9224
-3.568836289095739e-08,-9.607470472391911e-09,3051278121.383994,-57194666515.558586,23570308621.53924,104375747027.19684,143270327784.28503,-37116211775.766106,-141185017878.25897,175899105826.9362,-733487339996.6617,-234444202318.20898,-1359877297500.5095,-378151073406.79175,-1081468668862.7872,-2626158245930.384,-3128193365202.568,3295255260204.0757
-4.857582728070404e-08,-1.307683479081694e-08,3051282903.583472,-57194666260.43282,23570305204.580593,104375747798.82019,143270328531.37415,-37116208891.96673,-141185019760.06247,175899104316.51086,-733487339599.0427,-234444203562.20865,-1359877297242.2424,-378151074335.5512,-1081468668233.0907,-2626158246189.697,-3128193365596.38,3295255259830.229
-6.344597850525793e-08,-1.7079947457435165e-08,3051287685.782928,-57194666005.306656,23570301787.621918,104375748570.44342,143270329278.4632,-37116206008.167336,-141185021641.86594,175899102806.08554,-733487339201.4237,-234444204806.20828,-1359877296983.9753,-378151075264.31067,-1081468667603.3942,-2626158246449.01,-3128193365990.192,3295255259456.3823
-8.029881656610888e-08,-2.1616808469994772e-08,3051292467.9823627,-57194665750.18009,23570298370.66322,104375749342.06654,143270330025.55222,-37116203124.36793,-141185023523.6694,175899101295.6602,-733487338803.8047,-234444206050.20792,-1359877296725.7083,-378151076193.0701,-1081468666973.6976,-2626158246708.3228,-3128193366384.004,3295255259082.5356
-9.913434146474667e-08,-2.668741782624396e-08,3051297250.181776,-57194665495.05312,23570294953.704494,104375750113.68956,143270330772.64117,-37116200240.568504,-141185025405.47284,175899099785.2348,-733487338406.1857,-234444207294.20755,-1359877296467.4412,-378151077121.8296,-1081468666344.0011,-2626158246967.6357,-3128193366777.816,3295255258708.689
-1.1995255320266116e-07,-3.229177552393092e-08,3051302032.381168,-57194665239.92575,23570291536.745743,104375750885.31245,143270331519.73007,-37116197356.769066,-141185027287.27628,175899098274.80942,-733487338008.5667,-234444208538.20718,-1359877296209.174,-378151078050.58905,-1081468665714.3046,-2626158247226.9487,-3128193367171.628,3295255258334.8423
-1.4275345178134213e-07,-3.842988156080384e-08,3051306814.5805383,-57194664984.79797,23570288119.78697,104375751656.93524,143270332266.8189,-37116194472.96961,-141185029169.07968,175899096764.384,-733487337610.9476,-234444209782.20682,-1359877295950.907,-378151078979.3485,-1081468665084.608,-2626158247486.2617,-3128193367565.44,3295255257960.9956
-1.675370372022794e-07,-4.5101735934610914e-08,3051311596.779887,-57194664729.6698,23570284702.828167,104375752428.5579,143270333013.90768,-37116191589.17014,-141185031050.8831,175899095253.95856,-733487337213.3286,-234444211026.20645,-1359877295692.64,-378151079908.108,-1081468664454.9115,-2626158247745.5747,-3128193367959.252,3295255257587.149
-1.943033094669628e-07,-5.230733864310034e-08,3051316378.9792147,-57194664474.54122,23570281285.86934,104375753200.18047,143270333760.9964,-37116188705.37066,-141185032932.68646,175899093743.5331,-733487336815.7096,-234444212270.2061,-1359877295434.3728,-378151080836.86743,-1081468663825.215,-2626158248004.8877,-3128193368353.064,3295255257213.3022
-2.230522685768821e-07,-6.00466896840203e-08,3051321161.1785207,-57194664219.41224,23570277868.91049,104375753971.80292,143270334508.08505,-37116185821.57116,-141185034814.4898,175899092233.10764,-733487336418.0906,-234444213514.20572,-1359877295176.1057,-378151081765.6269,-1081468663195.5184,-2626158248264.2007,-3128193368746.876,3295255256839.4556
-2.5378391453352715e-07,-6.831978905511898e-08,3051325943.377805,-57194663964.28286,23570274451.95161,104375754743.42525,143270335255.17365,-37116182937.771645,-141185036696.29315,175899090722.68213,-733487336020.4716,-234444214758.20535,-1359877294917.8386,-378151082694.38635,-1081468662565.8219,-2626158248523.5137,-3128193369140.688,3295255256465.609
-2.864982473383878e-07,-7.712663675414459e-08,3051330725.5770683,-57194663709.153076,23570271034.992706,104375755515.04747,143270336002.26218,-37116180053.972115,-141185038578.09647,175899089212.25662,-733487335622.8525,-234444216002.205,-1359877294659.5715,-378151083623.1458,-1081468661936.1254,-2626158248782.8267,-3128193369534.5,3295255256091.762
-3.2119526699295377e-07,-8.646723277884531e-08,3051335507.77631,-57194663454.02289,23570267618.03378,104375756286.66959,143270336749.35065,-37116177170.17257,-141185040459.89978,175899087701.8311,-733487335225.2335,-234444217246.20462,-1359877294401.3044,-378151084551.9053,-1081468661306.4288,-2626158249042.1396,-3128193369928.312,3295255255717.9155
